audio_path,datetime,hive_id,colony_size,frames_box1,frames_box2,frames_box3,queen_status,frames_honey
audio_2021_chunk_4/11-08-2021_16h45_Hive-6.wav,2021-08-11 16:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_3/11-08-2021_18h45_Hive-6.wav,2021-08-11 18:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_4/11-08-2021_22h15_Hive-6.wav,2021-08-11 22:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_1/12-08-2021_00h45_Hive-6.wav,2021-08-12 00:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_2/12-08-2021_01h45_Hive-6.wav,2021-08-12 01:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_1/12-08-2021_02h45_Hive-6.wav,2021-08-12 02:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_2/12-08-2021_04h45_Hive-6.wav,2021-08-12 04:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_2/12-08-2021_07h15_Hive-6.wav,2021-08-12 07:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_2/12-08-2021_07h45_Hive-6.wav,2021-08-12 07:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_4/12-08-2021_12h45_Hive-6.wav,2021-08-12 12:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_2/12-08-2021_13h45_Hive-6.wav,2021-08-12 13:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_3/12-08-2021_16h15_Hive-6.wav,2021-08-12 16:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_4/12-08-2021_18h15_Hive-6.wav,2021-08-12 18:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_3/12-08-2021_21h45_Hive-6.wav,2021-08-12 21:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_4/13-08-2021_02h15_Hive-6.wav,2021-08-13 02:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_4/13-08-2021_02h45_Hive-6.wav,2021-08-13 02:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_4/13-08-2021_05h15_Hive-6.wav,2021-08-13 05:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_1/13-08-2021_07h15_Hive-6.wav,2021-08-13 07:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_3/13-08-2021_11h15_Hive-6.wav,2021-08-13 11:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_4/13-08-2021_15h15_Hive-6.wav,2021-08-13 15:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_3/13-08-2021_19h15_Hive-6.wav,2021-08-13 19:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_2/13-08-2021_19h45_Hive-6.wav,2021-08-13 19:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_4/13-08-2021_21h15_Hive-6.wav,2021-08-13 21:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_1/13-08-2021_22h45_Hive-6.wav,2021-08-13 22:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_4/24-08-2021_16h15_Hive-6.wav,2021-08-24 16:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_1/24-08-2021_21h45_Hive-6.wav,2021-08-24 21:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_4/24-08-2021_22h45_Hive-6.wav,2021-08-24 22:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_3/25-08-2021_01h15_Hive-6.wav,2021-08-25 01:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_1/25-08-2021_02h45_Hive-6.wav,2021-08-25 02:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_4/25-08-2021_07h45_Hive-6.wav,2021-08-25 07:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_2/25-08-2021_09h15_Hive-6.wav,2021-08-25 09:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_1/25-08-2021_10h45_Hive-6.wav,2021-08-25 10:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_4/25-08-2021_14h15_Hive-6.wav,2021-08-25 14:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_3/25-08-2021_15h45_Hive-6.wav,2021-08-25 15:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_2/25-08-2021_17h15_Hive-6.wav,2021-08-25 17:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_3/25-08-2021_18h45_Hive-6.wav,2021-08-25 18:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_4/25-08-2021_21h15_Hive-6.wav,2021-08-25 21:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_1/25-08-2021_22h15_Hive-6.wav,2021-08-25 22:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_4/25-08-2021_23h45_Hive-6.wav,2021-08-25 23:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_3/26-08-2021_05h15_Hive-6.wav,2021-08-26 05:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_2/26-08-2021_06h45_Hive-6.wav,2021-08-26 06:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_1/26-08-2021_08h15_Hive-6.wav,2021-08-26 08:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_4/26-08-2021_11h45_Hive-6.wav,2021-08-26 11:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_3/26-08-2021_13h15_Hive-6.wav,2021-08-26 13:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_3/26-08-2021_14h45_Hive-6.wav,2021-08-26 14:45:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_2/26-08-2021_16h15_Hive-6.wav,2021-08-26 16:15:00,6,2,10.0,10.0,,QR,10.0
audio_2021_chunk_3/14-09-2021_18h45_Hive-6.wav,2021-09-14 18:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_3/14-09-2021_22h45_Hive-6.wav,2021-09-14 22:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_2/15-09-2021_00h15_Hive-6.wav,2021-09-15 00:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_3/15-09-2021_05h15_Hive-6.wav,2021-09-15 05:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_1/15-09-2021_13h45_Hive-6.wav,2021-09-15 13:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_2/15-09-2021_18h45_Hive-6.wav,2021-09-15 18:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_3/15-09-2021_19h45_Hive-6.wav,2021-09-15 19:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_2/15-09-2021_20h15_Hive-6.wav,2021-09-15 20:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_1/15-09-2021_21h45_Hive-6.wav,2021-09-15 21:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_1/16-09-2021_04h15_Hive-6.wav,2021-09-16 04:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_1/16-09-2021_06h45_Hive-6.wav,2021-09-16 06:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_3/16-09-2021_07h15_Hive-6.wav,2021-09-16 07:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_4/16-09-2021_08h15_Hive-6.wav,2021-09-16 08:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_3/16-09-2021_09h45_Hive-6.wav,2021-09-16 09:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_3/16-09-2021_11h45_Hive-6.wav,2021-09-16 11:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_3/16-09-2021_15h45_Hive-6.wav,2021-09-16 15:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_2/16-09-2021_17h15_Hive-6.wav,2021-09-16 17:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_1/16-09-2021_21h45_Hive-6.wav,2021-09-16 21:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_4/17-09-2021_00h15_Hive-6.wav,2021-09-17 00:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_1/17-09-2021_06h45_Hive-6.wav,2021-09-17 06:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_4/17-09-2021_08h15_Hive-6.wav,2021-09-17 08:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_3/17-09-2021_09h45_Hive-6.wav,2021-09-17 09:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_3/17-09-2021_13h45_Hive-6.wav,2021-09-17 13:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_2/17-09-2021_14h15_Hive-6.wav,2021-09-17 14:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_1/17-09-2021_19h15_Hive-6.wav,2021-09-17 19:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_1/17-09-2021_22h15_Hive-6.wav,2021-09-17 22:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_1/18-09-2021_04h15_Hive-6.wav,2021-09-18 04:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_4/18-09-2021_04h45_Hive-6.wav,2021-09-18 04:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_3/18-09-2021_06h15_Hive-6.wav,2021-09-18 06:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_1/18-09-2021_08h15_Hive-6.wav,2021-09-18 08:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_2/18-09-2021_09h15_Hive-6.wav,2021-09-18 09:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_1/18-09-2021_15h45_Hive-6.wav,2021-09-18 15:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_3/18-09-2021_22h15_Hive-6.wav,2021-09-18 22:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_1/18-09-2021_22h45_Hive-6.wav,2021-09-18 22:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_2/19-09-2021_02h15_Hive-6.wav,2021-09-19 02:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_2/19-09-2021_02h45_Hive-6.wav,2021-09-19 02:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_2/19-09-2021_05h45_Hive-6.wav,2021-09-19 05:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_3/19-09-2021_08h15_Hive-6.wav,2021-09-19 08:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_3/19-09-2021_09h15_Hive-6.wav,2021-09-19 09:15:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_3/19-09-2021_10h45_Hive-6.wav,2021-09-19 10:45:00,6,2,10.0,10.0,,QR,4.0
audio_2021_chunk_2/19-09-2021_12h45_Hive-6.wav,2021-09-19 12:45:00,6,2,10.0,10.0,,QR,4.0
